    
-0.2 0.679 0.68 0.657 0.41
-0.19 0.689 0.671 0.658 0.406
-0.18 0.595 0.654 0.658 0.402
-0.17 0.672 0.658 0.658 0.399
-0.16 0.756 0.677 0.658 0.396
-0.15 0.711 0.686 0.658 0.393
-0.14 0.675 0.684 0.657 0.39
-0.13 0.601 0.676 0.657 0.388
-0.12 0.702 0.669 0.657 0.385
-0.11 0.611 0.669 0.656 0.383
-0.1 0.667 0.673 0.656 0.381
-0.09 0.593 0.676 0.655 0.379
-0.08 0.678 0.679 0.654 0.378
-0.07 0.687 0.678 0.654 0.376
-0.06 0.637 0.673 0.653 0.375
-0.05 0.702 0.669 0.652 0.374
-0.04 0.613 0.667 0.651 0.373
-0.03 0.654 0.666 0.65 0.372
-0.02 0.69 0.66 0.65 0.372
-0.01 0.656 0.653 0.649 0.372
0 0.64 0.647 0.648 0.372
0.01 0.572 0.642 0.648 0.372
0.02 0.687 0.645 0.647 0.372
0.03 0.688 0.641 0.647 0.372
0.04 0.642 0.626 0.646 0.373
0.05 0.573 0.622 0.646 0.374
0.06 0.678 0.627 0.646 0.375
0.07 0.609 0.634 0.646 0.376
0.08 0.687 0.651 0.646 0.378
0.09 0.652 0.668 0.646 0.379
0.1 0.72 0.675 0.647 0.381
0.11 0.621 0.672 0.647 0.383
0.12 0.701 0.673 0.647 0.386
0.13 0.692 0.673 0.647 0.388
0.14 0.719 0.669 0.648 0.391
0.15 0.6 0.657 0.648 0.393
0.16 0.575 0.645 0.649 0.396
0.17 0.667 0.65 0.649 0.4
0.18 0.691 0.66 0.649 0.403
0.19 0.651 0.668 0.65 0.406
0.2 0.661 0.673 0.65 0.41
0.21 0.674 0.674 0.65 0.414
0.22 0.73 0.669 0.651 0.418
0.23 0.651 0.667 0.651 0.423
0.24 0.666 0.667 0.651 0.427
0.25 0.766 0.656 0.651 0.432
0.26 0.566 0.639 0.652 0.437
0.27 0.617 0.637 0.652 0.442
0.28 0.692 0.653 0.652 0.447
0.29 0.659 0.667 0.652 0.453
0.3 0.627 0.67 0.653 0.458
0.31 0.69 0.663 0.653 0.464
0.32 0.664 0.648 0.653 0.47
0.33 0.608 0.638 0.654 0.477
0.34 0.679 0.65 0.654 0.483
0.35 0.692 0.67 0.655 0.49
0.36 0.623 0.673 0.655 0.497
0.37 0.568 0.663 0.655 0.504
0.38 0.714 0.666 0.655 0.511
0.39 0.641 0.668 0.656 0.518
0.4 0.685 0.676 0.656 0.526
0.41 0.731 0.685 0.656 0.534
0.42 0.715 0.68 0.657 0.542
0.43 0.662 0.674 0.657 0.55
0.44 0.666 0.665 0.657 0.558
0.45 0.644 0.652 0.657 0.567
0.46 0.62 0.661 0.657 0.575
0.47 0.697 0.675 0.657 0.584
0.48 0.799 0.676 0.657 0.594
0.49 0.651 0.67 0.658 0.603
0.5 0.681 0.664 0.658 0.612
0.51 0.639 0.659 0.658 0.622
0.52 0.634 0.657 0.658 0.632
0.53 0.665 0.657 0.658 0.642
0.54 0.651 0.664 0.658 0.652
0.55 0.655 0.674 0.658 0.663
0.56 0.681 0.681 0.658 0.674
0.57 0.671 0.688 0.658 0.685
0.58 0.722 0.688 0.658 0.696
0.59 0.638 0.676 0.658 0.707
0.6 0.626 0.662 0.658 0.718
0.61 0.661 0.655 0.658 0.73
0.62 0.644 0.665 0.658 0.742
0.63 0.706 0.673 0.658 0.754
0.64 0.615 0.669 0.658 0.766
0.65 0.701 0.669 0.657 0.779
0.66 0.711 0.675 0.657 0.791
0.67 0.657 0.677 0.657 0.804
0.68 0.673 0.675 0.657 0.817
0.69 0.583 0.665 0.657 0.83
0.7 0.635 0.656 0.656 0.844
0.71 0.643 0.66 0.656 0.857
0.72 0.711 0.674 0.656 0.871
0.73 0.648 0.678 0.657 0.885
0.74 0.695 0.657 0.657 0.899
0.75 0.596 0.631 0.658 0.914
0.76 0.552 0.625 0.659 0.928
0.77 0.584 0.639 0.66 0.943
0.78 0.663 0.652 0.661 0.958
0.79 0.581 0.653 0.663 0.973
0.8 0.693 0.654 0.665 0.988
0.81 0.69 0.662 0.667 1
0.82 0.622 0.679 0.67 1.02
0.83 0.769 0.693 0.673 1.04
0.84 0.664 0.68 0.677 1.05
0.85 0.664 0.669 0.681 1.07
0.86 0.677 0.674 0.685 1.08
0.87 0.671 0.67 0.691 1.1
0.88 0.653 0.661 0.696 1.12
0.89 0.628 0.664 0.703 1.14
0.9 0.631 0.675 0.71 1.15
0.91 0.676 0.68 0.717 1.17
0.92 0.645 0.675 0.726 1.19
0.93 0.694 0.668 0.735 1.21
0.94 0.66 0.668 0.744 1.22
0.95 0.741 0.67 0.754 1.24
0.96 0.674 0.66 0.765 1.26
0.97 0.626 0.647 0.776 1.28
0.98 0.616 0.649 0.788 1.3
0.99 0.696 0.669 0.801 1.32
1 0.728 0.699 0.814 1.34
