   
1.7e+04 3.04 1.95 0.92
1.8e+04 3.05 1.98 0.934
1.9e+04 3.06 1.98 0.95
2e+04 3.04 1.96 0.935
2.1e+04 3.03 1.97 0.941
2.2e+04 3.02 1.97 0.942
2.3e+04 3.02 1.96 0.938
2.4e+04 2.97 1.94 0.926
2.5e+04 2.96 1.92 0.92
2.6e+04 2.98 1.94 0.94
2.7e+04 3 1.97 0.954
2.8e+04 3 1.98 0.954
2.9e+04 2.99 1.99 0.96
3e+04 2.98 1.99 0.962
3.1e+04 2.99 1.99 0.954
3.2e+04 3.02 2.01 0.959
3.3e+04 3.02 2 0.963
3.4e+04 3.03 2.02 0.979
3.5e+04 3.04 2.02 0.985
3.6e+04 3.04 2.02 0.986
3.7e+04 3.04 2.03 0.989
3.8e+04 3.04 2.02 0.988
3.9e+04 3.02 2.01 0.984
4e+04 3.01 2.01 0.982
4.1e+04 3.02 2.02 0.977
4.2e+04 3.03 2.02 0.977
4.3e+04 3.03 2.02 0.975
4.4e+04 3.03 2.01 0.977
4.5e+04 3.02 2.01 0.976
4.6e+04 3.02 2.01 0.974
4.7e+04 3.01 2 0.975
4.8e+04 3.01 2 0.969
4.9e+04 3.02 2.01 0.97
5e+04 3.01 2.01 0.971
5.1e+04 3.01 2.01 0.971
5.2e+04 3.01 2.01 0.975
5.3e+04 3.01 2 0.969
5.4e+04 3.01 2 0.973
5.5e+04 3.03 2.01 0.976
5.6e+04 3.02 2.01 0.972
5.7e+04 3.01 1.99 0.965
5.8e+04 3 2 0.968
5.9e+04 3.01 2.01 0.981
6e+04 3 2 0.974
6.1e+04 2.99 1.99 0.97
6.2e+04 2.99 2 0.98
6.3e+04 3 2.01 0.982
6.4e+04 3 2 0.976
6.5e+04 3.01 2.01 0.98
6.6e+04 3 2 0.977
6.7e+04 2.98 1.99 0.973
6.8e+04 3 2 0.976
6.9e+04 2.99 2 0.978
7e+04 2.99 2 0.98
7.1e+04 2.99 2.01 0.984
7.2e+04 3 2.01 0.983
7.3e+04 3 2.01 0.979
7.4e+04 3.01 2.01 0.98
7.5e+04 3.01 2.01 0.987
7.6e+04 3.01 2.01 0.992
7.7e+04 3.01 2.01 0.99
